campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,cross_main_loss_mpa,tee_split_loss_mpa,equipment_loss_mpa
A2,uni,2560,0.537488,2,0.5,0.09914409287507613,FAIL,0.122426,0.315062,0.000856,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,3,0.5,0.09887134169668964,FAIL,0.122426,0.315062,0.001129,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,4,0.5,0.09820135910874138,FAIL,0.122426,0.315062,0.001799,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,0,1.0,0.10000022851834477,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,1,1.0,0.09898100735272074,FAIL,0.122426,0.315062,0.001019,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,2,1.0,0.09820066614778981,FAIL,0.122426,0.315062,0.0018,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,3,1.0,0.0976273542421263,FAIL,0.122426,0.315062,0.002373,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,4,1.0,0.09619790915872443,FAIL,0.122426,0.315062,0.003802,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,0,1.5,0.10000022851834477,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,1,1.5,0.09839106377364241,FAIL,0.122426,0.315062,0.001609,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,2,1.5,0.0971590470159797,FAIL,0.122426,0.315062,0.002841,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,3,1.5,0.09625389184708465,FAIL,0.122426,0.315062,0.003746,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,4,1.5,0.09396077291039416,FAIL,0.122426,0.315062,0.006039,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,0,2.0,0.10000022851834477,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,1,2.0,0.09773841400628729,FAIL,0.122426,0.315062,0.002262,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,2,2.0,0.09600671227049327,FAIL,0.122426,0.315062,0.003994,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,3,2.0,0.09473444160746096,FAIL,0.122426,0.315062,0.005266,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,4,2.0,0.09145579723946688,FAIL,0.122426,0.315062,0.008544,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,0,2.5,0.10000022851834477,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,1,2.5,0.09701488710363369,FAIL,0.122426,0.315062,0.002985,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,2,2.5,0.09472923508299551,FAIL,0.122426,0.315062,0.005271,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,3,2.5,0.09304998053722056,FAIL,0.122426,0.315062,0.00695,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,4,2.5,0.08864273486385081,FAIL,0.122426,0.315062,0.011357,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,0,3.0,0.10000022851834477,PASS,0.122426,0.315062,0.0,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,1,3.0,0.09621104252851741,FAIL,0.122426,0.315062,0.003789,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,2,3.0,0.09330994700505583,FAIL,0.122426,0.315062,0.00669,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,3,3.0,0.09117852988577795,FAIL,0.122426,0.315062,0.008822,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2560,0.537488,4,3.0,0.08547394174580512,FAIL,0.122426,0.315062,0.014526,0.03940645057958407,0.0,0.08366353436480117
A2,uni,2880,0.537488,0,0.0,-0.015201243992077396,FAIL,0.153939,0.39875,0.0,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,1,0.0,-0.015201243992077396,FAIL,0.153939,0.39875,0.0,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,2,0.0,-0.015201243992077396,FAIL,0.153939,0.39875,0.0,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,3,0.0,-0.015201243992077396,FAIL,0.153939,0.39875,0.0,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,4,0.0,-0.015201243992077396,FAIL,0.153939,0.39875,0.0,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,0,0.5,-0.015201243992077396,FAIL,0.153939,0.39875,0.0,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,1,0.5,-0.015814934143446924,FAIL,0.153939,0.39875,0.000614,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,2,0.5,-0.016284790665589244,FAIL,0.153939,0.39875,0.001084,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,3,0.5,-0.01662999137573462,FAIL,0.153939,0.39875,0.001429,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,4,0.5,-0.017477938088606648,FAIL,0.153939,0.39875,0.002277,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,0,1.0,-0.015201243992077396,FAIL,0.153939,0.39875,0.0,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,1,1.0,-0.016491195779820278,FAIL,0.153939,0.39875,0.00129,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,2,1.0,-0.01747881511731092,FAIL,0.153939,0.39875,0.002278,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,3,1.0,-0.01820441299791631,FAIL,0.153939,0.39875,0.003003,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,4,1.0,-0.020013554431596775,FAIL,0.153939,0.39875,0.004812,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,0,1.5,-0.015201243992077396,FAIL,0.153939,0.39875,0.0,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,1,1.5,-0.017237843122091256,FAIL,0.153939,0.39875,0.002037,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,2,1.5,-0.018797114331008113,FAIL,0.153939,0.39875,0.003596,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,3,1.5,-0.019942701341640945,FAIL,0.153939,0.39875,0.004741,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,4,1.5,-0.022844929995889773,FAIL,0.153939,0.39875,0.007644,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,0,2.0,-0.015201243992077396,FAIL,0.153939,0.39875,0.0,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,1,2.0,-0.01806385298390012,FAIL,0.153939,0.39875,0.002863,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,2,2.0,-0.02025553799326435,FAIL,0.153939,0.39875,0.005054,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,3,2.0,-0.021865755551164656,FAIL,0.153939,0.39875,0.006665,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,4,2.0,-0.02601528982940715,FAIL,0.153939,0.39875,0.010814,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,0,2.5,-0.015201243992077396,FAIL,0.153939,0.39875,0.0,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,1,2.5,-0.01897956672007106,FAIL,0.153939,0.39875,0.003778,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,2,2.5,-0.02187234505869118,FAIL,0.153939,0.39875,0.006671,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,3,2.5,-0.02399765159318762,FAIL,0.153939,0.39875,0.008796,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,4,2.5,-0.029575571898546177,FAIL,0.153939,0.39875,0.014374,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,0,3.0,-0.015201243992077396,FAIL,0.153939,0.39875,0.0,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,1,3.0,-0.019996932510452647,FAIL,0.153939,0.39875,0.004796,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,2,3.0,-0.023668631532333673,FAIL,0.153939,0.39875,0.008467,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,3,3.0,-0.026366206323919783,FAIL,0.153939,0.39875,0.011165,0.04966812492613868,0.0,0.10588666068045147
A2,uni,2880,0.537488,4,3.0,-0.033586075688572796,FAIL,0.153939,0.39875,0.018385,0.04966812492613868,0.0,0.10588666068045147
A2,uni,3200,0.537488,0,0.0,-0.14383005197981844,FAIL,0.189033,0.492284,0.0,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,1,0.0,-0.14383005197981844,FAIL,0.189033,0.492284,0.0,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,2,0.0,-0.14383005197981844,FAIL,0.189033,0.492284,0.0,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,3,0.0,-0.14383005197981844,FAIL,0.189033,0.492284,0.0,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,4,0.0,-0.14383005197981844,FAIL,0.189033,0.492284,0.0,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,0,0.5,-0.14383005197981844,FAIL,0.189033,0.492284,0.0,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,1,0.5,-0.1445876941420031,FAIL,0.189033,0.492284,0.000758,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,2,0.5,-0.14516776392242567,FAIL,0.189033,0.492284,0.001338,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,3,0.5,-0.14559393763865455,FAIL,0.189033,0.492284,0.001764,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,4,0.5,-0.1466407854323237,FAIL,0.189033,0.492284,0.002811,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,0,1.0,-0.14383005197981844,FAIL,0.189033,0.492284,0.0,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,1,1.0,-0.14542258505110603,FAIL,0.189033,0.492284,0.001593,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,2,1.0,-0.14664186818381056,FAIL,0.189033,0.492284,0.002812,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,3,1.0,-0.14753766803640977,FAIL,0.189033,0.492284,0.003708,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,4,1.0,-0.14977117597922515,FAIL,0.189033,0.492284,0.005941,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,0,1.5,-0.14383005197981844,FAIL,0.189033,0.492284,0.0,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,1,1.5,-0.14634437189341584,FAIL,0.189033,0.492284,0.002514,0.0611114359862304,0.0,0.13072427244500187
A2,uni,3200,0.537488,2,1.5,-0.14826939807726383,FAIL,0.189033,0.492284,0.004439,0.0611114359862304,0.0,0.13072427244500187
