campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,mc_iterations,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa
C1,uni,2240.0,0.458,3,1.0,0.5,10000,1.0,0.9996159875222334,0.9999999999999999,0.094240908197232,0.0009786712897775147,0.09252924410475198,0.0942975647693328,0.09576535223130497
C1,uni,2240.0,0.46,3,1.0,0.5,10000,1.0,0.9996159875222334,0.9999999999999999,0.09624090819723201,0.0009786712897775147,0.09452924410475198,0.09629756476933281,0.09776535223130497
C1,uni,2240.0,0.462,3,1.0,0.5,10000,0.9754,0.972176446231852,0.9782584347042876,0.09824090819723201,0.0009786712897775147,0.09652924410475199,0.09829756476933281,0.09976535223130498
C1,uni,2240.0,0.464,3,1.0,0.5,10000,0.3858,0.376304625212921,0.3953830832370007,0.10024090819723201,0.0009786712897775147,0.09852924410475199,0.10029756476933281,0.10176535223130498
C1,uni,2240.0,0.466,3,1.0,0.5,10000,0.0171,0.014738144562923597,0.01983273468810333,0.10224090819723201,0.0009786712897775166,0.10052924410475199,0.10229756476933281,0.10376535223130498
C1,uni,2240.0,0.468,3,1.0,0.5,10000,0.0001,1.765221952685649e-05,0.0005662834557441313,0.10424090819723203,0.0009786712897775173,0.10252924410475199,0.10429756476933282,0.10576535223130498
C1,uni,2240.0,0.47,3,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.10624090819723196,0.0009786712897775145,0.10452924410475199,0.10629756476933273,0.10776535223130493
C1,uni,2240.0,0.472,3,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.10824090819723199,0.0009786712897775149,0.106529244104752,0.10829756476933274,0.10976535223130493
C1,uni,2240.0,0.474,3,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.110240908197232,0.0009786712897775199,0.108529244104752,0.11029756476933275,0.11176535223130495
C1,uni,2240.0,0.476,3,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.11224090819723201,0.0009786712897775153,0.11052924410475201,0.11229756476933275,0.11376535223130495
C1,uni,2240.0,0.478,3,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.11424090819723201,0.0009786712897775145,0.11252924410475201,0.11429756476933275,0.11576535223130495
C1,uni,2240.0,0.48,3,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.11624090819723201,0.0009786712897775145,0.11452924410475201,0.11629756476933276,0.11776535223130495
C1,uni,2240.0,0.482,3,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.11824090819723199,0.0009786712897775145,0.11652924410475202,0.11829756476933276,0.11976535223130495
C1,uni,2240.0,0.456,4,1.0,0.5,10000,1.0,0.9996159875222334,0.9999999999999999,0.09129067900028592,0.0011074633557621445,0.08938091317553387,0.09134474751269282,0.09300119285267305
C1,uni,2240.0,0.458,4,1.0,0.5,10000,1.0,0.9996159875222334,0.9999999999999999,0.09329067900028591,0.0011074633557621445,0.09138091317553387,0.09334474751269282,0.09500119285267306
C1,uni,2240.0,0.46,4,1.0,0.5,10000,1.0,0.9996159875222334,0.9999999999999999,0.09529067900028591,0.0011074633557621445,0.09338091317553388,0.09534474751269283,0.09700119285267306
C1,uni,2240.0,0.462,4,1.0,0.5,10000,0.9976,0.9964311979663745,0.9983866328157522,0.09729067900028593,0.0011074633557621445,0.09538091317553388,0.09734474751269283,0.09900119285267306
C1,uni,2240.0,0.464,4,1.0,0.5,10000,0.7262,0.7173745945467859,0.7348516782082725,0.09929067900028592,0.0011074633557621445,0.09738091317553388,0.09934474751269283,0.10100119285267306
C1,uni,2240.0,0.466,4,1.0,0.5,10000,0.1261,0.1197367914848967,0.13275037304597706,0.10129067900028592,0.0011074633557621443,0.09938091317553388,0.10134474751269283,0.10300119285267301
C1,uni,2240.0,0.468,4,1.0,0.5,10000,0.0036,0.0026015882397965474,0.004979659348130073,0.1032906790002859,0.0011074633557621447,0.10138091317553388,0.10334474751269286,0.10500119285267301
C1,uni,2240.0,0.47,4,1.0,0.5,10000,0.0001,1.765221952685649e-05,0.0005662834557441313,0.10529067900028585,0.001107463355762144,0.10338091317553383,0.10534474751269278,0.10700119285267295
C1,uni,2240.0,0.472,4,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.10729067900028585,0.001107463355762144,0.10538091317553383,0.10734474751269278,0.10900119285267296
