campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,mc_iterations,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa
D1,uni,2400,0.529356,4,2.5,0.75,10000,0.0,0.0,0.00038401247776654115,0.1412502869049326,0.0022037380424607964,0.1374552387221005,0.14139312625217967,0.144600103664479
D1,uni,2440,0.529356,1,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.13808706591236655,0.00025680783353669383,0.1376546335510945,0.13809420564950975,0.13850036480542463
D1,uni,2440,0.529356,2,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.13736887668902328,0.0003246664207529696,0.13682281358400672,0.13737328495397808,0.13789012608191747
D1,uni,2440,0.529356,3,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.13683996571931933,0.00035743328994850226,0.13623754996538953,0.13684518139404048,0.13742184974224544
D1,uni,2440,0.529356,4,1.0,0.25,10000,0.0,0.0,0.00038401247776654115,0.13553185676875926,0.0005151588170135815,0.13467014846117129,0.1355437338793088,0.13635341486806918
D1,uni,2440,0.529356,1,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.13806661699208983,0.0005085560033663743,0.13718082365738535,0.13809755792335543,0.1388778188255909
D1,uni,2440,0.529356,2,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.1373271569961767,0.0006446350719214872,0.13621700360740044,0.13735224758519202,0.13833702500713563
D1,uni,2440,0.529356,3,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.13678097721167842,0.0007102787923830774,0.13555354349569637,0.13680812985354326,0.13789527118762632
D1,uni,2440,0.529356,4,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.13543401132703103,0.0010260898914457054,0.13368359327375734,0.13548406537631272,0.13702621595876294
D1,uni,2440,0.529356,1,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.1380140786051101,0.0007400108742982306,0.13666546609501426,0.13810090801367314,0.13901675987140633
D1,uni,2440,0.529356,2,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.1372301813062985,0.0009398712682514064,0.13556163877217411,0.1373047552920117,0.1386341308415749
D1,uni,2440,0.529356,3,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.13664904615314266,0.0010368157087518115,0.1347995689599509,0.13672699865277355,0.13819821689083744
D1,uni,2440,0.529356,4,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.1352124498991465,0.0015074897560912034,0.13255820192605672,0.1353413443425098,0.13746211249149215
D1,uni,2440,0.529356,1,1.5,0.25,10000,0.0,0.0,0.00038401247776654115,0.13755060135888808,0.000283867156811929,0.13707242557675764,0.13755862572359004,0.13800712431936366
D1,uni,2440,0.529356,2,1.5,0.25,10000,0.0,0.0,0.00038401247776654115,0.1364210014487119,0.00035885310609878255,0.1358171232822892,0.13642607141596022,0.1369969450444521
