campaign,topology,total_flow_lpm,defect_count,bead_height_mm,critical_inlet_mpa
B2,bi,2560,2,2.0,0.542969
B2,bi,2560,4,2.0,0.547266
B2,bi,2560,0,2.5,0.539063
B2,bi,2560,2,2.5,0.544141
B2,bi,2560,4,2.5,0.550391
B2,bi,2560,0,3.0,0.539063
B2,bi,2560,2,3.0,0.545703
B2,bi,2560,4,3.0,0.553516
B2,bi,2640,0,0.0,0.566406
B2,bi,2640,2,0.0,0.566406
B2,bi,2640,4,0.0,0.566406
B2,bi,2640,0,0.5,0.566406
B2,bi,2640,2,0.5,0.567578
B2,bi,2640,4,0.5,0.568359
B2,bi,2640,0,1.0,0.566406
B2,bi,2640,2,1.0,0.568359
B2,bi,2640,4,1.0,0.570703
B2,bi,2640,0,1.5,0.566406
B2,bi,2640,2,1.5,0.569531
B2,bi,2640,4,1.5,0.573047
B2,bi,2640,0,2.0,0.566406
B2,bi,2640,2,2.0,0.570703
B2,bi,2640,4,2.0,0.575781
B2,bi,2640,0,2.5,0.566406
B2,bi,2640,2,2.5,0.572266
B2,bi,2640,4,2.5,0.578516
B2,bi,2640,0,3.0,0.566406
B2,bi,2640,2,3.0,0.573828
B2,bi,2640,4,3.0,0.582031
B2,bi,2720,0,0.0,0.594922
B2,bi,2720,2,0.0,0.594922
B2,bi,2720,4,0.0,0.594922
B2,bi,2720,0,0.5,0.594922
B2,bi,2720,2,0.5,0.596094
B2,bi,2720,4,0.5,0.597266
B2,bi,2720,0,1.0,0.594922
B2,bi,2720,2,1.0,0.597266
B2,bi,2720,4,1.0,0.599219
B2,bi,2720,0,1.5,0.594922
B2,bi,2720,2,1.5,0.598438
B2,bi,2720,4,1.5,0.601953
B2,bi,2720,0,2.0,0.594922
B2,bi,2720,2,2.0,0.599609
B2,bi,2720,4,2.0,0.604688
B2,bi,2720,0,2.5,0.594922
B2,bi,2720,2,2.5,0.601172
B2,bi,2720,4,2.5,0.607813
B2,bi,2720,0,3.0,0.594922
B2,bi,2720,2,3.0,0.602734
B2,bi,2720,4,3.0,0.611328
B2,bi,2800,0,0.0,0.624609
B2,bi,2800,2,0.0,0.624609
B2,bi,2800,4,0.0,0.624609
B2,bi,2800,0,0.5,0.624609
B2,bi,2800,2,0.5,0.625391
B2,bi,2800,4,0.5,0.626563
B2,bi,2800,0,1.0,0.624609
B2,bi,2800,2,1.0,0.626563
B2,bi,2800,4,1.0,0.628906
B2,bi,2800,0,1.5,0.624609
B2,bi,2800,2,1.5,0.627734
B2,bi,2800,4,1.5,0.631641
B2,bi,2800,0,2.0,0.624609
B2,bi,2800,2,2.0,0.629297
B2,bi,2800,4,2.0,0.634766
B2,bi,2800,0,2.5,0.624609
B2,bi,2800,2,2.5,0.630859
B2,bi,2800,4,2.5,0.637891
B2,bi,2800,0,3.0,0.624609
B2,bi,2800,2,3.0,0.632422
B2,bi,2800,4,3.0,0.641797
B2,bi,2880,0,0.0,0.654687
B2,bi,2880,2,0.0,0.654687
B2,bi,2880,4,0.0,0.654687
B2,bi,2880,0,0.5,0.654687
B2,bi,2880,2,0.5,0.655859
B2,bi,2880,4,0.5,0.657031
B2,bi,2880,0,1.0,0.654687
B2,bi,2880,2,1.0,0.657031
B2,bi,2880,4,1.0,0.659375
B2,bi,2880,0,1.5,0.654687
B2,bi,2880,2,1.5,0.658203
B2,bi,2880,4,1.5,0.662109
B2,bi,2880,0,2.0,0.654687
B2,bi,2880,2,2.0,0.659766
B2,bi,2880,4,2.0,0.665625
B2,bi,2880,0,2.5,0.654687
B2,bi,2880,2,2.5,0.661328
B2,bi,2880,4,2.5,0.669141
B2,bi,2880,0,3.0,0.654687
B2,bi,2880,2,3.0,0.663281
B2,bi,2880,4,3.0,0.673047
