case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high
P1b,tree,80A-65A,4,8,32,2560.0,0.58,1.5,0.75,,0.2,10000,,,,,,,,,,0.1437794882612958,0.002917164810050704,0.1382428548160447,0.1443493805301477,0.14727675095444595,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.58,2.0,1.0,,0.2,10000,,,,,,,,,,0.14162356782680882,0.0047318954879782505,0.1325483332022134,0.1426052737063241,0.14727675095444595,0.0001,1.765221952685649e-05,0.0005662834557441313
P1b,tree,80A-65A,4,8,32,2560.0,0.58,2.5,1.25,,0.2,10000,,,,,,,,,,0.13818908565092689,0.008189736425570521,0.12331852212579159,0.1400348535253435,0.14727675095444595,0.0037,0.002685632352621393,0.005095538432809675
P1b,tree,80A-65A,4,8,32,2560.0,0.58,3.0,1.5,,0.2,10000,,,,,,,,,,0.13304091973466886,0.014868959002307383,0.10820182924232588,0.13675501081410035,0.14681262620683316,0.0305,0.027305733318065892,0.034054854398556884
P1b,tree,80A-65A,4,8,32,2560.0,0.58,1.0,0.5,,0.3,10000,,,,,,,,,,0.14445427764958885,0.0018654287570112513,0.14092787257952738,0.14474074253540906,0.14705034304891934,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.58,1.5,0.75,,0.3,10000,,,,,,,,,,0.1420747074770596,0.0032924629707845173,0.1358923320943448,0.14259716123600255,0.14648022895041996,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.58,2.0,1.0,,0.3,10000,,,,,,,,,,0.13887361640155058,0.005448242250716042,0.12876423373723506,0.1398499004062533,0.14575056521550253,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.58,2.5,1.25,,0.3,10000,,,,,,,,,,0.1342621574042907,0.009049197527385741,0.11769609509091326,0.13610650696440185,0.14491617292136683,0.0058,0.004489655555780853,0.0074899023772435945
P1b,tree,80A-65A,4,8,32,2560.0,0.58,3.0,1.5,,0.3,10000,,,,,,,,,,0.12688353075108671,0.01672725734444201,0.09745045081839225,0.13073867034829,0.14344345109218495,0.0587,0.05426001107535487,0.06347891833752187
P1b,tree,80A-65A,4,8,32,2560.0,0.6,1.0,0.5,,0.05,10000,,,,,,,,,,0.16680983317286172,0.00087942382252328,0.16495525017713134,0.1672767509544459,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.6,1.5,0.75,,0.05,10000,,,,,,,,,,0.16642494692161622,0.0015923604197090682,0.16315087777276804,0.1672767509544459,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.6,2.0,1.0,,0.05,10000,,,,,,,,,,0.1658087497469972,0.002756834208279874,0.16041214604067963,0.1672767509544459,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.6,2.5,1.25,,0.05,10000,,,,,,,,,,0.16492262139871486,0.004491450136970548,0.1565988994032835,0.1672767509544459,0.1672767509544459,0.0001,1.765221952685649e-05,0.0005662834557441313
P1b,tree,80A-65A,4,8,32,2560.0,0.6,3.0,1.5,,0.05,10000,,,,,,,,,,0.16342728102852797,0.008260807136808988,0.15070226239176773,0.1671425553119422,0.1672767509544459,0.0018,0.0011389185739970834,0.002843711458849498
