case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,delta_pressure_kpa,pipe_size,ranking
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.14760983327455585,,,,,,,3,6,,,,,,,,,3.0812994639417557,25A,0
S1,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,,,,0.14992080787251216,,,,,,,3,7,,,,,,,,,0.7703248659854389,25A,7
S1,tree,80A-65A,4,8,30,2400.0,0.5314,2.0,,,,,0.14870320982750962,,,,,,,3,0,,,,,,,,,1.9879229109879826,50A,3
S1,tree,80A-65A,4,8,30,2400.0,0.5314,2.0,,,,,0.14916912925977244,,,,,,,3,1,,,,,,,,,1.5220034787251646,50A,5
S1,tree,80A-65A,4,8,30,2400.0,0.5314,2.0,,,,,0.14957292610106687,,,,,,,3,2,,,,,,,,,1.1182066374307298,50A,7
S1,tree,80A-65A,4,8,30,2400.0,0.5314,2.0,,,,,0.1478095117119403,,,,,,,3,3,,,,,,,,,2.881621026557313,40A,1
S1,tree,80A-65A,4,8,30,2400.0,0.5314,2.0,,,,,0.1488468952815009,,,,,,,3,4,,,,,,,,,1.844237456996689,40A,4
S1,tree,80A-65A,4,8,30,2400.0,0.5314,2.0,,,,,0.148332240639015,,,,,,,3,5,,,,,,,,,2.35889209948259,32A,2
S1,tree,80A-65A,4,8,30,2400.0,0.5314,2.0,,,,,0.14607910727292145,,,,,,,3,6,,,,,,,,,4.612025465576153,25A,0
S1,tree,80A-65A,4,8,30,2400.0,0.5314,2.0,,,,,0.14953812637210356,,,,,,,3,7,,,,,,,,,1.1530063663940382,25A,6
