case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high
S2b,tree,80A-65A,4,8,32,2560.0,0.6,1.5,0.75,4,,10000,,,,,,,,,0.16508087014539988,0.0022174937840006037,0.16079201347720373,0.1655836460684968,0.1672767509544459,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.6,1.5,0.75,8,,10000,,,,,,,,,0.16288808720329612,0.002895969021202504,0.15746060369753578,0.16339861311594395,0.16665557854688964,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.6,0.0,0.0,0,,0,0.1672767509544459,,,,,,,,0.1672767509544459,0.0,,,,0.0,,
S2b,tree,80A-65A,4,8,32,2560.0,0.6,2.0,1.0,1,,10000,,,,,,,,,0.16637768830653446,0.0019939241893221784,0.162678406555895,0.1672767509544459,0.1672767509544459,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.6,2.0,1.0,2,,10000,,,,,,,,,0.16546949900046667,0.0027863337487373315,0.16031866267569805,0.1665580930816127,0.1672767509544459,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.6,2.0,1.0,4,,10000,,,,,,,,,0.163651247115452,0.003713978685163885,0.15656540159932014,0.16455103649843383,0.1672767509544459,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.6,2.0,1.0,8,,10000,,,,,,,,,0.16019114933017622,0.0048088971944936654,0.15116728151011244,0.16114380352337543,0.16596602065013003,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.6,0.0,0.0,0,,0,0.1672767509544459,,,,,,,,0.1672767509544459,0.0,,,,0.0,,
S2b,tree,80A-65A,4,8,32,2560.0,0.6,2.5,1.25,1,,10000,,,,,,,,,0.1657682433914958,0.0035169083401625405,0.16006295208979637,0.1672767509544459,0.1672767509544459,0.0001,1.765221952685649e-05,0.0005662834557441313
S2b,tree,80A-65A,4,8,32,2560.0,0.6,2.5,1.25,2,,10000,,,,,,,,,0.16434673701083066,0.004649877982664072,0.15602515080256163,0.16592474729809403,0.1672767509544459,0.0002,5.4847779209068104e-05,0.0007290110935663664
S2b,tree,80A-65A,4,8,32,2560.0,0.6,2.5,1.25,4,,10000,,,,,,,,,0.16145838835981705,0.00677402738140639,0.15012063558651173,0.16305844229792796,0.1672767509544459,0.0009,0.00047357165665044376,0.0017097495986561175
S2b,tree,80A-65A,4,8,32,2560.0,0.6,2.5,1.25,8,,10000,,,,,,,,,0.15624327839106691,0.008193667074695678,0.1417838340606696,0.15807074075889127,0.16493594809758488,0.0013,0.0007599045488158861,0.002223109496508462
S2b,tree,80A-65A,4,8,32,2560.0,0.6,0.0,0.0,0,,0,0.1672767509544459,,,,,,,,0.1672767509544459,0.0,,,,0.0,,
S2b,tree,80A-65A,4,8,32,2560.0,0.6,3.0,1.5,1,,10000,,,,,,,,,0.16475944833515715,0.007506919410931719,0.1560982199491054,0.1672767509544459,0.1672767509544459,0.0017,0.0010616983407886484,0.0027210084945534863
S2b,tree,80A-65A,4,8,32,2560.0,0.6,3.0,1.5,2,,10000,,,,,,,,,0.16245458944633548,0.008579144562619937,0.14929259147655055,0.1649801282539099,0.1672767509544459,0.0024,0.001613367184247764,0.0035688020336254967
S2b,tree,80A-65A,4,8,32,2560.0,0.6,3.0,1.5,4,,10000,,,,,,,,,0.1579618843780122,0.012839802435994469,0.13958759144255517,0.16105879112783814,0.1672767509544459,0.0067,0.005279610297613358,0.008499256412951111
