case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.5,1.25,,0.2,10000,,,,,,,,,0.10829799512280451,0.008165098696210479,0.09335656061197344,0.11017867403014102,0.11727675095444597,0.1224,0.11612075448611572,0.12896925173709353
P1b,tree,80A-65A,4,8,32,2560.0,0.55,3.0,1.5,,0.2,10000,,,,,,,,,0.10313995300293267,0.01505022298378106,0.07907891839554156,0.10672220924535852,0.11686485478869421,0.273,0.26435659586691757,0.2818177457979884
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.0,0.5,,0.3,10000,,,,,,,,,0.11441277648821901,0.001874133236843768,0.11089536420577849,0.11469349063460248,0.11701561486125212,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.55,1.5,0.75,,0.3,10000,,,,,,,,,0.11210964408681227,0.0032748971708827994,0.10597350069694285,0.11261647890937981,0.11651922620542758,0.0032,0.002267699638052522,0.004513855159856313
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.0,1.0,,0.3,10000,,,,,,,,,0.10898219308000189,0.005392238365981418,0.09902946885262241,0.10989862572608593,0.1158519265868825,0.0623,0.05772869778443046,0.06720746673860635
P1b,tree,80A-65A,4,8,32,2560.0,0.55,2.5,1.25,,0.3,10000,,,,,,,,,0.10418536427053696,0.009180710156523162,0.08744102654949588,0.10609980771618352,0.11478353514046657,0.242,0.23370553432339294,0.2504926161151345
P1b,tree,80A-65A,4,8,32,2560.0,0.55,3.0,1.5,,0.3,10000,,,,,,,,,0.09701540222499153,0.01937440493936406,0.06970596923501662,0.1010830486391609,0.11329871809300536,0.4614,0.4516459347193132,0.4711837110439702
P1b,tree,80A-65A,4,8,32,2560.0,0.56,1.0,0.5,,0.05,10000,,,,,,,,,0.1268033854340736,0.0009024594584457051,0.12490384995462363,0.127276750954446,0.127276750954446,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.56,1.5,0.75,,0.05,10000,,,,,,,,,0.12640544808986887,0.0016255488033515245,0.12315288406761797,0.127276750954446,0.127276750954446,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.56,2.0,1.0,,0.05,10000,,,,,,,,,0.12583919395917895,0.0027218927214162337,0.12050522082677748,0.127276750954446,0.127276750954446,0.0003,0.00010203035287762114,0.0008817517174022601
P1b,tree,80A-65A,4,8,32,2560.0,0.56,2.5,1.25,,0.05,10000,,,,,,,,,0.1249635395280743,0.00452953897676663,0.11695479947442453,0.127276750954446,0.127276750954446,0.0051,0.003881291717961065,0.006698803832532257
P1b,tree,80A-65A,4,8,32,2560.0,0.56,3.0,1.5,,0.05,10000,,,,,,,,,0.1234613497418856,0.008403713152534438,0.11134335248682359,0.127276750954446,0.127276750954446,0.0203,0.01771452863591045,0.023253892935258764
P1b,tree,80A-65A,4,8,32,2560.0,0.56,1.0,0.5,,0.1,10000,,,,,,,,,0.126358997228729,0.0011955266512624861,0.12394923282557214,0.12677829447407768,0.127276750954446,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.56,1.5,0.75,,0.1,10000,,,,,,,,,0.12554788228434222,0.002251412546582404,0.12113073388628313,0.1262813825786273,0.127276750954446,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.56,2.0,1.0,,0.1,10000,,,,,,,,,0.1243755305307066,0.0036702294696830708,0.11727340397930254,0.12547721071446705,0.127276750954446,0.0008,0.0004054288421193391,0.0015779692156827755
P1b,tree,80A-65A,4,8,32,2560.0,0.56,2.5,1.25,,0.1,10000,,,,,,,,,0.12259179650690964,0.00642886144803772,0.11116811937535996,0.12444422029341991,0.127276750954446,0.0139,0.011784837996855143,0.016388498934029487
P1b,tree,80A-65A,4,8,32,2560.0,0.56,3.0,1.5,,0.1,10000,,,,,,,,,0.1198059281721407,0.013167393764460682,0.10196995579438498,0.12317956264917908,0.127276750954446,0.043,0.03919638632603847,0.04715460107864013
P1b,tree,80A-65A,4,8,32,2560.0,0.56,1.0,0.5,,0.2,10000,,,,,,,,,0.12537494528233514,0.0016164931961698125,0.12225383148787483,0.12569310637573192,0.127276750954446,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.56,1.5,0.75,,0.2,10000,,,,,,,,,0.12375079484625062,0.0028734972686291185,0.11828866419326198,0.1243275862105626,0.127276750954446,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.56,2.0,1.0,,0.2,10000,,,,,,,,,0.12154962651847567,0.004895888601771346,0.1120822029398935,0.12257331411299913,0.127276750954446,0.0028,0.0019379927682506323,0.004043869239640415
P1b,tree,80A-65A,4,8,32,2560.0,0.56,2.5,1.25,,0.2,10000,,,,,,,,,0.11828885909237383,0.008379793063534884,0.10365564870568335,0.12013196562287445,0.127276750954446,0.0298,0.02664362450858112,0.033317500825510535
P1b,tree,80A-65A,4,8,32,2560.0,0.56,3.0,1.5,,0.2,10000,,,,,,,,,0.11299884759788488,0.01549727569124569,0.08809400579459166,0.1166906587192121,0.12689565535204209,0.1205,0.11426460552918961,0.12702685994143517
P1b,tree,80A-65A,4,8,32,2560.0,0.56,1.0,0.5,,0.3,10000,,,,,,,,,0.12444102972352694,0.001864174030826818,0.12090648030524226,0.12471047127245691,0.12701873871222363,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.56,1.5,0.75,,0.3,10000,,,,,,,,,0.12202249969236616,0.0032804333713926143,0.11591907130401825,0.12251641959677699,0.1265195489466301,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.56,2.0,1.0,,0.3,10000,,,,,,,,,0.11889195654018252,0.005380920652351416,0.10880444971068431,0.11979312610224875,0.12586471735874638,0.0064,0.005015420431189328,0.0081636766868618
P1b,tree,80A-65A,4,8,32,2560.0,0.56,2.5,1.25,,0.3,10000,,,,,,,,,0.11414454893504726,0.00941719185014336,0.09727021075929497,0.11610844144686999,0.12484724000605649,0.0687,0.06390612169594506,0.07382512746737632
P1b,tree,80A-65A,4,8,32,2560.0,0.56,3.0,1.5,,0.3,10000,,,,,,,,,0.10711331943751586,0.016807089369556598,0.0788329884499936,0.11113261783517239,0.12333758469306924,0.2208,0.21277826626928853,0.22903616629829626
P1b,tree,80A-65A,4,8,32,2560.0,0.58,1.0,0.5,,0.05,10000,,,,,,,,,0.14681792487999107,0.0008684364013520808,0.14499393875384145,0.14727675095444595,0.14727675095444595,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.58,1.5,0.75,,0.05,10000,,,,,,,,,0.14638739676256185,0.00164711275087928,0.1430102334803483,0.14727675095444595,0.14727675095444595,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.58,2.0,1.0,,0.05,10000,,,,,,,,,0.1458277904271548,0.0027144170472992637,0.14053315575786537,0.14727675095444595,0.14727675095444595,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.58,2.5,1.25,,0.05,10000,,,,,,,,,0.14490405455816827,0.004753585010012922,0.13656158407241187,0.14727675095444595,0.14727675095444595,0.0009,0.00047357165665044376,0.0017097495986561175
P1b,tree,80A-65A,4,8,32,2560.0,0.58,3.0,1.5,,0.05,10000,,,,,,,,,0.14341382264543107,0.009810990396605298,0.13062387289534766,0.14727675095444595,0.14727675095444595,0.0051,0.003881291717961065,0.006698803832532257
P1b,tree,80A-65A,4,8,32,2560.0,0.58,1.0,0.5,,0.1,10000,,,,,,,,,0.14633677998543046,0.001221929790718007,0.14385878291331058,0.14677199347734177,0.14727675095444595,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.58,1.5,0.75,,0.1,10000,,,,,,,,,0.14553664208166356,0.0022171867624248246,0.14104882378765993,0.14627625218107748,0.14727675095444595,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.58,2.0,1.0,,0.1,10000,,,,,,,,,0.1443470727096796,0.0037476936849287564,0.13696771620959944,0.14547388008056136,0.14727675095444595,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.58,2.5,1.25,,0.1,10000,,,,,,,,,0.1426246535626801,0.006210148959064258,0.1314210174937125,0.14441391230709966,0.14727675095444595,0.0013,0.0007599045488158861,0.002223109496508462
P1b,tree,80A-65A,4,8,32,2560.0,0.58,3.0,1.5,,0.1,10000,,,,,,,,,0.13972349943878556,0.012884616799630785,0.12153729958471042,0.14306465129296034,0.14727675095444595,0.0142,0.012060537993537884,0.01671256852986009
P1b,tree,80A-65A,4,8,32,2560.0,0.58,1.0,0.5,,0.2,10000,,,,,,,,,0.14533360941277193,0.001661684653128773,0.14210249725902888,0.14565041939173073,0.14727675095444595,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.58,1.5,0.75,,0.2,10000,,,,,,,,,0.14376931541844837,0.002935188460692525,0.13827318191409993,0.14433773736645095,0.14727675095444595,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.58,2.0,1.0,,0.2,10000,,,,,,,,,0.14161467378424022,0.0047451379647770325,0.13247034625904525,0.14264666676791232,0.14727675095444595,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.58,2.5,1.25,,0.2,10000,,,,,,,,,0.13836041440499025,0.008086592073774773,0.12353092769311509,0.14019137682866614,0.14727675095444595,0.0042,0.0031088599034471516,0.005671926869506149
P1b,tree,80A-65A,4,8,32,2560.0,0.58,3.0,1.5,,0.2,10000,,,,,,,,,0.13333513127850907,0.014802771700669945,0.10975988178619711,0.13680831803277238,0.1470127028425964,0.0273,0.024283040171564765,0.030680005224915725
P1b,tree,80A-65A,4,8,32,2560.0,0.58,1.0,0.5,,0.3,10000,,,,,,,,,0.14440972995294904,0.0018858151315431784,0.14086182835895492,0.14468230430028364,0.14705671615544938,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.58,1.5,0.75,,0.3,10000,,,,,,,,,0.14212078121466593,0.0033009680397147125,0.13590400058780544,0.14262001921632325,0.146578348195067,0.0,0.0,0.00038401247776654115
