campaign,topology,placement,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,mc_iterations,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa
C1_focused,uni,worst,2560.0,0.5314,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09669204020333672,0.000944361635339389,0.09505893231205625,0.09672558542018017,0.09819832376846878
C1_focused,uni,worst,2560.0,0.5334,2,2.5,0.5,1000,0.93,0.912484997993282,0.9442238692224224,0.09869204020333672,0.000944361635339389,0.09705893231205626,0.09872558542018017,0.10019832376846878
C1_focused,uni,worst,2560.0,0.5254,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08449699679731981,0.0015857540430759373,0.08182968183370347,0.08453079969504246,0.08700049696688084
C1_focused,uni,worst,2560.0,0.5274,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08649699679731981,0.0015857540430759373,0.08382968183370347,0.08653079969504246,0.08900049696688084
C1_focused,uni,worst,2560.0,0.529356,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08845299679731988,0.0015857540430759373,0.08578568183370354,0.08848679969504253,0.0909564969668809
C1_focused,uni,worst,2560.0,0.5314,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.0904969967973198,0.0015857540430759373,0.08782968183370347,0.09053079969504246,0.09300049696688084
C1_focused,uni,worst,2560.0,0.5334,4,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.0924969967973198,0.0015857540430759373,0.08982968183370348,0.09253079969504246,0.09500049696688084
C1_focused,bi,worst,2560.0,0.5254,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08380455684774074,0.0007668943572192549,0.08248053456595329,0.08383056696523938,0.08503136832516803
C1_focused,bi,worst,2560.0,0.5274,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08580455684774076,0.0007668943572192549,0.0844805345659533,0.08583056696523939,0.08703136832516803
C1_focused,bi,worst,2560.0,0.529356,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08776055684774083,0.0007668943572192549,0.08643653456595336,0.08778656696523945,0.0889873683251681
C1_focused,bi,worst,2560.0,0.5314,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08980455684774076,0.0007668943572192549,0.0884805345659533,0.08983056696523939,0.09103136832516803
C1_focused,bi,worst,2560.0,0.5334,2,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.09180455684774076,0.0007668943572192549,0.0904805345659533,0.09183056696523939,0.09303136832516803
C1_focused,bi,worst,2560.0,0.5254,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08052618812887351,0.0012412647524733655,0.07845234873617833,0.08054806339336745,0.08249371053900997
C1_focused,bi,worst,2560.0,0.5274,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08252618812887351,0.0012412647524733655,0.08045234873617833,0.08254806339336745,0.08449371053900998
C1_focused,bi,worst,2560.0,0.529356,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08448218812887359,0.0012412647524733653,0.0824083487361784,0.08450406339336752,0.08644971053901004
C1_focused,bi,worst,2560.0,0.5314,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08652618812887351,0.0012412647524733655,0.08445234873617834,0.08654806339336746,0.08849371053900998
C1_focused,bi,worst,2560.0,0.5334,4,1.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08852618812887351,0.0012412647524733655,0.08645234873617834,0.08854806339336746,0.09049371053900998
C1_focused,bi,worst,2560.0,0.5254,2,2.5,0.5,1000,1.0,0.9961731014136095,1.0,0.08135753317087036,0.0009443616353393883,0.0797244252795899,0.08139107838771376,0.08286381673600242
