case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,loss_bead_ratio_pct,terminal_B_mpa,improvement_pct
D1,tree,80A-65A,4,8,32,2560.0,0.55,2.5,,,,,0.09016202965936812,-0.009837970340631885,False,0.114858,0.317865,0.027115,0.009837970340631885,3,,,,,,,,,,5.896642241160328,0.11727675095444597,30.07332620784734
D1,tree,80A-65A,4,8,32,2560.0,0.55,3.0,,,,,0.08158551633872953,-0.018414483661270478,False,0.114858,0.317865,0.035691,0.018414483661270478,3,,,,,,,,,,7.619533819925518,0.11727675095444597,43.74702302248398
D1,tree,80A-65A,4,8,32,2560.0,0.6,0.0,,,,,0.1672767509544459,0.06727675095444591,True,0.114858,0.317865,0.0,0.0,3,,,,,,,,,,0.0,0.1672767509544459,0.0
D1,tree,80A-65A,4,8,32,2560.0,0.6,0.5,,,,,0.16333804787807618,0.06333804787807618,True,0.114858,0.317865,0.003939,0.0,3,,,,,,,,,,0.9020708080607308,0.1672767509544459,2.4113812596253017
D1,tree,80A-65A,4,8,32,2560.0,0.6,1.0,,,,,0.15879893832207262,0.058798938322072614,True,0.114858,0.317865,0.008478,0.0,3,,,,,,,,,,1.9215728919049744,0.1672767509544459,5.3387086349272534
D1,tree,80A-65A,4,8,32,2560.0,0.6,1.5,,,,,0.15353561550669315,0.05353561550669314,True,0.114858,0.317865,0.013741,0.0,3,,,,,,,,,,3.077737100036475,0.1672767509544459,8.94980321172044
D1,tree,80A-65A,4,8,32,2560.0,0.6,2.0,,,,,0.14739076716248786,0.04739076716248786,True,0.114858,0.317865,0.019886,0.0,3,,,,,,,,,,4.393635515415817,0.1672767509544459,13.492014577843376
D1,tree,80A-65A,4,8,32,2560.0,0.6,2.5,,,,,0.14016202965936791,0.04016202965936791,True,0.114858,0.317865,0.027115,0.0,3,,,,,,,,,,5.896642241160325,0.1672767509544459,19.345268730036366
D1,tree,80A-65A,4,8,32,2560.0,0.6,3.0,,,,,0.13158551633872934,0.03158551633872933,True,0.114858,0.317865,0.035691,0.0,3,,,,,,,,,,7.6195338199255165,0.1672767509544459,27.123984165430247
D1,tree,80A-65A,4,8,32,2560.0,0.65,0.0,,,,,0.2172767509544459,0.1172767509544459,True,0.114858,0.317865,0.0,0.0,3,,,,,,,,,,0.0,0.2172767509544459,0.0
