campaign,topology,total_flow_lpm,defect_count,bead_height_mm,critical_inlet_mpa,terminal_at_critical_mpa,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,cross_main_loss_mpa,tee_split_loss_mpa,equipment_loss_mpa
B1,bi,2560.0,1,2.0,0.561328,0.10004489005346513,0.108483,0.3505389964309059,0.002262,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,2,2.0,0.563281,0.10026631331767118,0.108483,0.3505389964309059,0.003994,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,3,2.0,0.564453,0.1001659176546389,0.108483,0.3505389964309059,0.005266,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,4,2.0,0.567578,0.10001227328664487,0.108483,0.3505389964309059,0.008544,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,0,2.5,0.559375,0.10035357956552261,0.108483,0.3505389964309059,0.0,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,1,2.5,0.562109,0.1001026131508116,0.108483,0.3505389964309059,0.002985,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,2,2.5,0.564453,0.10016071113017345,0.108483,0.3505389964309059,0.005271,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,3,2.5,0.566016,0.10004395658439848,0.108483,0.3505389964309059,0.00695,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,4,2.5,0.570703,0.10032421091102885,0.108483,0.3505389964309059,0.011357,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,0,3.0,0.559375,0.10035357956552261,0.108483,0.3505389964309059,0.0,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,1,3.0,0.562891,0.10008001857569528,0.108483,0.3505389964309059,0.003789,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,2,3.0,0.566016,0.10030392305223375,0.108483,0.3505389964309059,0.00669,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,3,3.0,0.567969,0.10012563093295597,0.108483,0.3505389964309059,0.008822,0.0029422567018097677,0.04243046206610476,0.08366353436480117
B1,bi,2560.0,4,3.0,0.573828,0.10028041779298309,0.108483,0.3505389964309059,0.014526,0.0029422567018097677,0.04243046206610476,0.08366353436480117
